bin_id,bin_text,bin_impressions
4611673032285991808,"POLYGON ((6.65625 53.43125000149011, 6.66875 53.43125000149011, 6.66875 53.443750001490116, 6.65625 53.443750001490116, 6.65625 53.43125000149011))",5
4611673038359992815,"POLYGON ((6.768749997019768 53.40625000298023, 6.781249997019768 53.40625000298023, 6.781249997019768 53.41875000298023, 6.768749997019768 53.41875000298023, 6.768749997019768 53.40625000298023))",1
4611673041396993193,"POLYGON ((5.256249997764826 53.39375, 5.268749997764826 53.39375, 5.268749997764826 53.40625, 5.256249997764826 53.40625, 5.256249997764826 53.39375))",121
4611673041396993259,"POLYGON ((6.081249997019768 53.39375, 6.093749997019768 53.39375, 6.093749997019768 53.40625, 6.081249997019768 53.40625, 6.081249997019768 53.39375))",4
4611673041396993284,"POLYGON ((6.393749997019768 53.39375, 6.406249997019768 53.39375, 6.406249997019768 53.40625, 6.393749997019768 53.40625, 6.393749997019768 53.39375))",10
4611673044433993692,"POLYGON ((5.256249997764826 53.381250000745055, 5.268749997764826 53.381250000745055, 5.268749997764826 53.39375000074506, 5.256249997764826 53.39375000074506, 5.256249997764826 53.381250000745055))",59
4611673044433993699,"POLYGON ((5.34375 53.381250000745055, 5.35625 53.381250000745055, 5.35625 53.39375000074506, 5.34375 53.39375000074506, 5.34375 53.381250000745055))",60
4611673044433993767,"POLYGON ((6.193749997764826 53.381250000745055, 6.206249997764826 53.381250000745055, 6.206249997764826 53.39375000074506, 6.193749997764826 53.39375000074506, 6.193749997764826 53.381250000745055))",1
4611673050507994800,"POLYGON ((6.631249997764826 53.35625000223517, 6.643749997764826 53.35625000223517, 6.643749997764826 53.368750002235174, 6.631249997764826 53.368750002235174, 6.631249997764826 53.35625000223517))",132
4611673053544995183,"POLYGON ((5.181249998509884 53.34375000298023, 5.193749998509884 53.34375000298023, 5.193749998509884 53.35625000298023, 5.181249998509884 53.35625000298023, 5.181249998509884 53.34375000298023))",162
4611673053544995299,"POLYGON ((6.631249997764826 53.34375000298023, 6.643749997764826 53.34375000298023, 6.643749997764826 53.35625000298023, 6.631249997764826 53.35625000298023, 6.631249997764826 53.34375000298023))",604
4611673056581995685,"POLYGON ((5.21875 53.33125, 5.23125 53.33125, 5.23125 53.34375, 5.21875 53.34375, 5.21875 53.33125))",4
4611673056581995800,"POLYGON ((6.65625 53.33125, 6.66875 53.33125, 6.66875 53.34375, 6.65625 53.34375, 6.65625 53.33125))",1
4611673056581995866,"POLYGON ((7.481249999254942 53.33125, 7.493749999254942 53.33125, 7.493749999254942 53.34375, 7.481249999254942 53.34375, 7.481249999254942 53.33125))",11
4611673059618996319,"POLYGON ((6.90625 53.318750000745055, 6.91875 53.318750000745055, 6.91875 53.33125000074506, 6.90625 53.33125000074506, 6.90625 53.318750000745055))",293
4611673062655996757,"POLYGON ((6.143749997019768 53.30625000149011, 6.156249997019768 53.30625000149011, 6.156249997019768 53.318750001490116, 6.143749997019768 53.318750001490116, 6.143749997019768 53.30625000149011))",63
4611673062655996788,"POLYGON ((6.53125 53.30625000149011, 6.54375 53.30625000149011, 6.54375 53.318750001490116, 6.53125 53.318750001490116, 6.53125 53.30625000149011))",12
4611673062655996808,"POLYGON ((6.78125 53.30625000149011, 6.79375 53.30625000149011, 6.79375 53.318750001490116, 6.78125 53.318750001490116, 6.78125 53.30625000149011))",146
4611673062655996854,"POLYGON ((7.356249999254942 53.30625000149011, 7.368749999254942 53.30625000149011, 7.368749999254942 53.318750001490116, 7.356249999254942 53.318750001490116, 7.356249999254942 53.30625000149011))",8
4611673065692997221,"POLYGON ((5.706249997019768 53.29375000223517, 5.718749997019768 53.29375000223517, 5.718749997019768 53.306250002235174, 5.706249997019768 53.306250002235174, 5.706249997019768 53.29375000223517))",14
4611673065692997283,"POLYGON ((6.481249999254942 53.29375000223517, 6.493749999254942 53.29375000223517, 6.493749999254942 53.306250002235174, 6.481249999254942 53.306250002235174, 6.481249999254942 53.29375000223517))",8
4611673065692997312,"POLYGON ((6.84375 53.29375000223517, 6.85625 53.29375000223517, 6.85625 53.306250002235174, 6.84375 53.306250002235174, 6.84375 53.29375000223517))",3
4611673068729997674,"POLYGON ((5.131249997764826 53.28125000298023, 5.143749997764826 53.28125000298023, 5.143749997764826 53.29375000298023, 5.131249997764826 53.29375000298023, 5.131249997764826 53.28125000298023))",2
4611673068729997719,"POLYGON ((5.693749997764826 53.28125000298023, 5.706249997764826 53.28125000298023, 5.706249997764826 53.29375000298023, 5.693749997764826 53.29375000298023, 5.693749997764826 53.28125000298023))",22
4611673071766998225,"POLYGON ((5.78125 53.26875, 5.79375 53.26875, 5.79375 53.28125, 5.78125 53.28125, 5.78125 53.26875))",37
4611673071766998256,"POLYGON ((6.168749999254942 53.26875, 6.181249999254942 53.26875, 6.181249999254942 53.28125, 6.168749999254942 53.28125, 6.168749999254942 53.26875))",91
4611673074803998745,"POLYGON ((6.043749999254942 53.256250000745055, 6.056249999254942 53.256250000745055, 6.056249999254942 53.26875000074506, 6.043749999254942 53.26875000074506, 6.043749999254942 53.256250000745055))",10
4611673077840999207,"POLYGON ((5.581249997019768 53.24375000149011, 5.593749997019768 53.24375000149011, 5.593749997019768 53.256250001490116, 5.581249997019768 53.256250001490116, 5.581249997019768 53.24375000149011))",15
4611673077840999234,"POLYGON ((5.918749999254942 53.24375000149011, 5.931249999254942 53.24375000149011, 5.931249999254942 53.256250001490116, 5.918749999254942 53.256250001490116, 5.918749999254942 53.24375000149011))",18
4611673077840999308,"POLYGON ((6.84375 53.24375000149011, 6.85625 53.24375000149011, 6.85625 53.256250001490116, 6.84375 53.256250001490116, 6.84375 53.24375000149011))",4
4611673080877999726,"POLYGON ((5.831249997019768 53.23125000223517, 5.843749997019768 53.23125000223517, 5.843749997019768 53.243750002235174, 5.831249997019768 53.243750002235174, 5.831249997019768 53.23125000223517))",20
4611673080877999753,"POLYGON ((6.168749999254942 53.23125000223517, 6.181249999254942 53.23125000223517, 6.181249999254942 53.243750002235174, 6.168749999254942 53.243750002235174, 6.168749999254942 53.23125000223517))",304
