bin_id,bin_text,bin_impressions
4611676731352599408,"POLYGON ((6.133750002831221 53.48874999776483, 6.151250002831221 53.48874999776483, 6.151250002831221 53.506249997764826, 6.133750002831221 53.506249997764826, 6.133750002831221 53.48874999776483))",36
4611676740463600936,"POLYGON ((6.6762500032782555 53.436249999403955, 6.6937500032782555 53.436249999403955, 6.6937500032782555 53.45374999940395, 6.6762500032782555 53.45374999940395, 6.6762500032782555 53.436249999403955))",7
4611676740463601002,"POLYGON ((7.831250000745058 53.436249999403955, 7.848750000745058 53.436249999403955, 7.848750000745058 53.45374999940395, 7.831250000745058 53.45374999940395, 7.831250000745058 53.436249999403955))",4
4611676743500601374,"POLYGON ((5.6087500005960464 53.418749997466804, 5.6262500005960465 53.418749997466804, 5.6262500005960465 53.4362499974668, 5.6087500005960464 53.4362499974668, 5.6087500005960464 53.418749997466804))",15
4611676746537601933,"POLYGON ((6.6587500013411045 53.401249999254944, 6.676250001341105 53.401249999254944, 6.676250001341105 53.41874999925494, 6.6587500013411045 53.41874999925494, 6.6587500013411045 53.401249999254944))",261
4611676749574602388,"POLYGON ((5.888750001788139 53.38374999731779, 5.906250001788139 53.38374999731779, 5.906250001788139 53.40124999731779, 5.888750001788139 53.40124999731779, 5.888750001788139 53.38374999731779))",5
4611676749574602421,"POLYGON ((6.466250002384186 53.38374999731779, 6.483750002384186 53.38374999731779, 6.483750002384186 53.40124999731779, 6.466250002384186 53.40124999731779, 6.466250002384186 53.38374999731779))",7
4611676752611602848,"POLYGON ((5.206250000745058 53.36624999910593, 5.223750000745058 53.36624999910593, 5.223750000745058 53.38374999910593, 5.206250000745058 53.38374999910593, 5.206250000745058 53.36624999910593))",73
4611676755648603411,"POLYGON ((6.326250001788139 53.34874999716878, 6.343750001788139 53.34874999716878, 6.343750001788139 53.36624999716878, 6.326250001788139 53.36624999716878, 6.326250001788139 53.34874999716878))",300
4611676755648603437,"POLYGON ((6.78125 53.34874999716878, 6.79875 53.34874999716878, 6.79875 53.36624999716878, 6.78125 53.36624999716878, 6.78125 53.34874999716878))",33
4611676758685603889,"POLYGON ((5.958750002086163 53.33124999895692, 5.976250002086163 53.33124999895692, 5.976250002086163 53.34874999895692, 5.958750002086163 53.34874999895692, 5.958750002086163 53.33124999895692))",225
4611676758685603920,"POLYGON ((6.501250002533197 53.33124999895692, 6.5187500025331975 53.33124999895692, 6.5187500025331975 53.34874999895692, 6.501250002533197 53.34874999895692, 6.501250002533197 53.33124999895692))",2017
4611676761722604376,"POLYGON ((5.748750001192093 53.31374999701977, 5.766250001192093 53.31374999701977, 5.766250001192093 53.33124999701977, 5.748750001192093 53.33124999701977, 5.748750001192093 53.31374999701977))",48
4611676761722604415,"POLYGON ((6.431250002235174 53.31374999701977, 6.448750002235174 53.31374999701977, 6.448750002235174 53.33124999701977, 6.431250002235174 53.33124999701977, 6.431250002235174 53.31374999701977))",3
4611676764759604873,"POLYGON ((5.713750001043081 53.29624999880791, 5.731250001043081 53.29624999880791, 5.731250001043081 53.31374999880791, 5.713750001043081 53.31374999880791, 5.713750001043081 53.29624999880791))",14
4611676767796605372,"POLYGON ((5.713750001043081 53.27874999687076, 5.731250001043081 53.27874999687076, 5.731250001043081 53.296249996870756, 5.713750001043081 53.296249996870756, 5.713750001043081 53.27874999687076))",43
4611676767796605407,"POLYGON ((6.326250001788139 53.27874999687076, 6.343750001788139 53.27874999687076, 6.343750001788139 53.296249996870756, 6.326250001788139 53.296249996870756, 6.326250001788139 53.27874999687076))",67
4611676767796605438,"POLYGON ((6.868750002235174 53.27874999687076, 6.886250002235174 53.27874999687076, 6.886250002235174 53.296249996870756, 6.868750002235174 53.296249996870756, 6.868750002235174 53.27874999687076))",9
4611676770833605862,"POLYGON ((5.556250002235174 53.2612499986589, 5.573750002235174 53.2612499986589, 5.573750002235174 53.278749998658895, 5.556250002235174 53.278749998658895, 5.556250002235174 53.2612499986589))",6
4611676770833605889,"POLYGON ((6.028750002384186 53.2612499986589, 6.046250002384186 53.2612499986589, 6.046250002384186 53.278749998658895, 6.028750002384186 53.278749998658895, 6.028750002384186 53.2612499986589))",10
4611676770833605920,"POLYGON ((6.571250002831221 53.2612499986589, 6.588750002831221 53.2612499986589, 6.588750002831221 53.278749998658895, 6.571250002831221 53.278749998658895, 6.571250002831221 53.2612499986589))",3
4611676773870606379,"POLYGON ((5.871249999850988 53.243749996721746, 5.8887499998509885 53.243749996721746, 5.8887499998509885 53.261249996721745, 5.871249999850988 53.261249996721745, 5.871249999850988 53.243749996721746))",11
4611676773870606412,"POLYGON ((6.448750000447035 53.243749996721746, 6.466250000447035 53.243749996721746, 6.466250000447035 53.261249996721745, 6.448750000447035 53.261249996721745, 6.448750000447035 53.243749996721746))",426
4611676776907606876,"POLYGON ((5.836250003427267 53.226249998509886, 5.853750003427267 53.226249998509886, 5.853750003427267 53.243749998509884, 5.836250003427267 53.243749998509884, 5.836250003427267 53.226249998509886))",20
4611676776907606907,"POLYGON ((6.378750000149012 53.226249998509886, 6.396250000149012 53.226249998509886, 6.396250000149012 53.243749998509884, 6.378750000149012 53.243749998509884, 6.378750000149012 53.226249998509886))",1414
4611676776907606930,"POLYGON ((6.78125 53.226249998509886, 6.79875 53.226249998509886, 6.79875 53.243749998509884, 6.78125 53.243749998509884, 6.78125 53.226249998509886))",3
4611676779944607372,"POLYGON ((5.7837500013411045 53.208749996572735, 5.801250001341105 53.208749996572735, 5.801250001341105 53.22624999657273, 5.7837500013411045 53.22624999657273, 5.7837500013411045 53.208749996572735))",359
4611676779944607403,"POLYGON ((6.326250001788139 53.208749996572735, 6.343750001788139 53.208749996572735, 6.343750001788139 53.22624999657273, 6.326250001788139 53.22624999657273, 6.326250001788139 53.208749996572735))",90
4611676782981607867,"POLYGON ((5.713750001043081 53.191249998360874, 5.731250001043081 53.191249998360874, 5.731250001043081 53.20874999836087, 5.713750001043081 53.20874999836087, 5.713750001043081 53.191249998360874))",275
4611676782981607896,"POLYGON ((6.2212500013411045 53.191249998360874, 6.238750001341105 53.191249998360874, 6.238750001341105 53.20874999836087, 6.2212500013411045 53.20874999836087, 6.2212500013411045 53.191249998360874))",9
4611676782981607910,"POLYGON ((6.466250002384186 53.191249998360874, 6.483750002384186 53.191249998360874, 6.483750002384186 53.20874999836087, 6.466250002384186 53.20874999836087, 6.466250002384186 53.191249998360874))",45
4611676782981607929,"POLYGON ((6.798750001937151 53.191249998360874, 6.816250001937151 53.191249998360874, 6.816250001937151 53.20874999836087, 6.798750001937151 53.20874999836087, 6.798750001937151 53.191249998360874))",494
4611676786018608370,"POLYGON ((5.7837500013411045 53.17375000014901, 5.801250001341105 53.17375000014901, 5.801250001341105 53.19125000014901, 5.7837500013411045 53.19125000014901, 5.7837500013411045 53.17375000014901))",815
4611676786018608405,"POLYGON ((6.396250002086163 53.17375000014901, 6.413750002086163 53.17375000014901, 6.413750002086163 53.19125000014901, 6.396250002086163 53.19125000014901, 6.396250002086163 53.17375000014901))",16
4611676789055608879,"POLYGON ((5.958750002086163 53.15624999821186, 5.976250002086163 53.15624999821186, 5.976250002086163 53.17374999821186, 5.958750002086163 53.17374999821186, 5.958750002086163 53.15624999821186))",47
4611676789055608904,"POLYGON ((6.396250002086163 53.15624999821186, 6.413750002086163 53.15624999821186, 6.413750002086163 53.17374999821186, 6.396250002086163 53.17374999821186, 6.396250002086163 53.15624999821186))",163
4611676789055608937,"POLYGON ((6.973750002682209 53.15624999821186, 6.991250002682209 53.15624999821186, 6.991250002682209 53.17374999821186, 6.973750002682209 53.17374999821186, 6.973750002682209 53.15624999821186))",102
4611676792092609377,"POLYGON ((5.941250000149012 53.13875, 5.958750000149012 53.13875, 5.958750000149012 53.15625, 5.941250000149012 53.15625, 5.941250000149012 53.13875))",41
4611676792092609433,"POLYGON ((6.9212500005960464 53.13875, 6.9387500005960465 53.13875, 6.9387500005960465 53.15625, 6.9212500005960464 53.15625, 6.9212500005960464 53.13875))",75
4611676795129609849,"POLYGON ((5.46875 53.12124999806285, 5.48625 53.12124999806285, 5.48625 53.13874999806285, 5.46875 53.13874999806285, 5.46875 53.12124999806285))",44
4611676795129609872,"POLYGON ((5.871249999850988 53.12124999806285, 5.8887499998509885 53.12124999806285, 5.8887499998509885 53.13874999806285, 5.871249999850988 53.13874999806285, 5.871249999850988 53.12124999806285))",10
4611676795129609911,"POLYGON ((6.55375000089407 53.12124999806285, 6.57125000089407 53.12124999806285, 6.57125000089407 53.13874999806285, 6.55375000089407 53.13874999806285, 6.55375000089407 53.12124999806285))",589
4611676798166610435,"POLYGON ((6.99125000089407 53.10374999985099, 7.00875000089407 53.10374999985099, 7.00875000089407 53.12124999985099, 6.99125000089407 53.12124999985099, 6.99125000089407 53.10374999985099))",12
4611676801203610844,"POLYGON ((5.416250001639128 53.08624999791384, 5.433750001639128 53.08624999791384, 5.433750001639128 53.10374999791384, 5.416250001639128 53.10374999791384, 5.416250001639128 53.08624999791384))",15
4611676801203610850,"POLYGON ((5.521250002086163 53.08624999791384, 5.538750002086163 53.08624999791384, 5.538750002086163 53.10374999791384, 5.521250002086163 53.10374999791384, 5.521250002086163 53.08624999791384))",5
4611676801203610906,"POLYGON ((6.501250002533197 53.08624999791384, 6.5187500025331975 53.08624999791384, 6.5187500025331975 53.10374999791384, 6.501250002533197 53.10374999791384, 6.501250002533197 53.08624999791384))",1
4611676804240611378,"POLYGON ((6.028750002384186 53.06874999970198, 6.046250002384186 53.06874999970198, 6.046250002384186 53.08624999970198, 6.028750002384186 53.08624999970198, 6.028750002384186 53.06874999970198))",59
4611676804240611413,"POLYGON ((6.641250003129244 53.06874999970198, 6.658750003129244 53.06874999970198, 6.658750003129244 53.08624999970198, 6.641250003129244 53.08624999970198, 6.641250003129244 53.06874999970198))",30
4611676807277611852,"POLYGON ((5.591250002384186 53.05124999776483, 5.608750002384186 53.05124999776483, 5.608750002384186 53.068749997764826, 5.591250002384186 53.068749997764826, 5.591250002384186 53.05124999776483))",68
4611676807277611885,"POLYGON ((6.168750002980232 53.05124999776483, 6.186250002980232 53.05124999776483, 6.186250002980232 53.068749997764826, 6.168750002980232 53.068749997764826, 6.168750002980232 53.05124999776483))",3
4611676807277611910,"POLYGON ((6.606250002980232 53.05124999776483, 6.623750002980232 53.05124999776483, 6.623750002980232 53.068749997764826, 6.606250002980232 53.068749997764826, 6.606250002980232 53.05124999776483))",5
4611676810314612349,"POLYGON ((5.556250002235174 53.03374999955297, 5.573750002235174 53.03374999955297, 5.573750002235174 53.051249999552965, 5.556250002235174 53.051249999552965, 5.556250002235174 53.03374999955297))",21
4611676810314612355,"POLYGON ((5.661250002682209 53.03374999955297, 5.678750002682209 53.03374999955297, 5.678750002682209 53.051249999552965, 5.661250002682209 53.051249999552965, 5.661250002682209 53.03374999955297))",2896
4611676810314612388,"POLYGON ((6.2387500032782555 53.03374999955297, 6.2562500032782555 53.03374999955297, 6.2562500032782555 53.051249999552965, 6.2387500032782555 53.051249999552965, 6.2387500032782555 53.03374999955297))",9
4611676810314612417,"POLYGON ((6.746249999850988 53.03374999955297, 6.7637499998509885 53.03374999955297, 6.7637499998509885 53.051249999552965, 6.746249999850988 53.051249999552965, 6.746249999850988 53.03374999955297))",7
4611676813351612848,"POLYGON ((5.556250002235174 53.016249997615816, 5.573750002235174 53.016249997615816, 5.573750002235174 53.033749997615814, 5.556250002235174 53.033749997615814, 5.556250002235174 53.016249997615816))",19
4611676813351612910,"POLYGON ((6.641250003129244 53.016249997615816, 6.658750003129244 53.016249997615816, 6.658750003129244 53.033749997615814, 6.641250003129244 53.033749997615814, 6.641250003129244 53.016249997615816))",6
4611676816388613369,"POLYGON ((5.941250000149012 52.998749999403955, 5.958750000149012 52.998749999403955, 5.958750000149012 53.01624999940395, 5.941250000149012 53.01624999940395, 5.941250000149012 52.998749999403955))",69
4611676816388613404,"POLYGON ((6.55375000089407 52.998749999403955, 6.57125000089407 52.998749999403955, 6.57125000089407 53.01624999940395, 6.55375000089407 53.01624999940395, 6.55375000089407 52.998749999403955))",1068
4611676816388613439,"POLYGON ((7.166250001639128 52.998749999403955, 7.183750001639128 52.998749999403955, 7.183750001639128 53.01624999940395, 7.166250001639128 53.01624999940395, 7.166250001639128 52.998749999403955))",6
4611676816388613466,"POLYGON ((7.638750001788139 52.998749999403955, 7.656250001788139 52.998749999403955, 7.656250001788139 53.01624999940395, 7.638750001788139 53.01624999940395, 7.638750001788139 52.998749999403955))",6
4611676819425613863,"POLYGON ((5.853750001639128 52.981249997466804, 5.871250001639128 52.981249997466804, 5.871250001639128 52.9987499974668, 5.853750001639128 52.9987499974668, 5.853750001639128 52.981249997466804))",3
4611676819425613888,"POLYGON ((6.291250001639128 52.981249997466804, 6.308750001639128 52.981249997466804, 6.308750001639128 52.9987499974668, 6.291250001639128 52.9987499974668, 6.291250001639128 52.981249997466804))",152
4611676822462614319,"POLYGON ((5.101250000298023 52.963749999254944, 5.118750000298023 52.963749999254944, 5.118750000298023 52.98124999925494, 5.101250000298023 52.98124999925494, 5.101250000298023 52.963749999254944))",4
4611676822462614344,"POLYGON ((5.538750000298023 52.963749999254944, 5.556250000298023 52.963749999254944, 5.556250000298023 52.98124999925494, 5.538750000298023 52.98124999925494, 5.538750000298023 52.963749999254944))",13
4611676822462614377,"POLYGON ((6.11625000089407 52.963749999254944, 6.13375000089407 52.963749999254944, 6.13375000089407 52.98124999925494, 6.11625000089407 52.98124999925494, 6.11625000089407 52.963749999254944))",5
4611676822462614418,"POLYGON ((6.833750002086163 52.963749999254944, 6.851250002086163 52.963749999254944, 6.851250002086163 52.98124999925494, 6.833750002086163 52.98124999925494, 6.833750002086163 52.963749999254944))",26
4611676825499614873,"POLYGON ((6.063750002533197 52.94624999731779, 6.0812500025331975 52.94624999731779, 6.0812500025331975 52.96374999731779, 6.063750002533197 52.96374999731779, 6.063750002533197 52.94624999731779))",382
4611676825499614904,"POLYGON ((6.606250002980232 52.94624999731779, 6.623750002980232 52.94624999731779, 6.623750002980232 52.96374999731779, 6.606250002980232 52.96374999731779, 6.606250002980232 52.94624999731779))",65
4611676828536615361,"POLYGON ((5.871249999850988 52.92874999910593, 5.8887499998509885 52.92874999910593, 5.8887499998509885 52.94624999910593, 5.871249999850988 52.94624999910593, 5.871249999850988 52.92874999910593))",13
