bin_id,bin_text,bin_impressions
4611675185519345478,"POLYGON ((6.1724999994039536 53.482500002384185, 6.187499999403953 53.482500002384185, 6.187499999403953 53.497500002384186, 6.1724999994039536 53.497500002384186, 6.1724999994039536 53.482500002384185))",3
4611675194630347021,"POLYGON ((6.862500000745058 53.437500000596046, 6.877500000745058 53.437500000596046, 6.877500000745058 53.45250000059605, 6.862500000745058 53.45250000059605, 6.862500000745058 53.437500000596046))",5
4611675200704348018,"POLYGON ((6.847500000149012 53.40749999940395, 6.862500000149011 53.40749999940395, 6.862500000149011 53.42249999940395, 6.847500000149012 53.42249999940395, 6.847500000149012 53.40749999940395))",2
4611675203741348509,"POLYGON ((6.72749999910593 53.39249999880791, 6.74249999910593 53.39249999880791, 6.74249999910593 53.40749999880791, 6.72749999910593 53.40749999880791, 6.72749999910593 53.39249999880791))",165
4611675206778348984,"POLYGON ((6.367499999701977 53.37750000193715, 6.3824999997019765 53.37750000193715, 6.3824999997019765 53.39250000193715, 6.367499999701977 53.39250000193715, 6.367499999701977 53.37750000193715))",181
4611675206778348997,"POLYGON ((6.5625 53.37750000193715, 6.5775 53.37750000193715, 6.5775 53.39250000193715, 6.5625 53.39250000193715, 6.5625 53.37750000193715))",14
4611675206778349050,"POLYGON ((7.357499998062849 53.37750000193715, 7.372499998062849 53.37750000193715, 7.372499998062849 53.39250000193715, 7.357499998062849 53.39250000193715, 7.357499998062849 53.37750000193715))",2
4611675209815349455,"POLYGON ((5.947499997913837 53.362500001341104, 5.962499997913837 53.362500001341104, 5.962499997913837 53.377500001341105, 5.947499997913837 53.377500001341105, 5.947499997913837 53.362500001341104))",4
4611675209815349486,"POLYGON ((6.412499997764826 53.362500001341104, 6.4274999977648255 53.362500001341104, 6.4274999977648255 53.377500001341105, 6.412499997764826 53.377500001341105, 6.412499997764826 53.362500001341104))",4
4611675209815349513,"POLYGON ((6.817499998956919 53.362500001341104, 6.832499998956918 53.362500001341104, 6.832499998956918 53.377500001341105, 6.817499998956919 53.377500001341105, 6.817499998956919 53.362500001341104))",196
4611675212852349905,"POLYGON ((5.212499998509884 53.34750000074506, 5.227499998509884 53.34750000074506, 5.227499998509884 53.36250000074506, 5.212499998509884 53.36250000074506, 5.212499998509884 53.34750000074506))",589
4611675215889350457,"POLYGON ((6.007500000298023 53.33250000014901, 6.022500000298023 53.33250000014901, 6.022500000298023 53.34750000014901, 6.007500000298023 53.34750000014901, 6.007500000298023 53.33250000014901))",43
4611675218926350975,"POLYGON ((6.292500000447035 53.317499999552965, 6.3075000004470345 53.317499999552965, 6.3075000004470345 53.332499999552965, 6.292500000447035 53.332499999552965, 6.292500000447035 53.317499999552965))",1
4611675221963351396,"POLYGON ((5.1224999986588955 53.30249999895692, 5.137499998658895 53.30249999895692, 5.137499998658895 53.31749999895692, 5.1224999986588955 53.31749999895692, 5.1224999986588955 53.30249999895692))",3
4611675221963351462,"POLYGON ((6.112500000745058 53.30249999895692, 6.127500000745058 53.30249999895692, 6.127500000745058 53.31749999895692, 6.112500000745058 53.31749999895692, 6.112500000745058 53.30249999895692))",44
4611675221963351499,"POLYGON ((6.667500000447035 53.30249999895692, 6.6825000004470345 53.30249999895692, 6.6825000004470345 53.31749999895692, 6.667500000447035 53.31749999895692, 6.667500000447035 53.30249999895692))",4
4611675225000351891,"POLYGON ((5.0625 53.28750000208616, 5.0775 53.28750000208616, 5.0775 53.30250000208616, 5.0625 53.30250000208616, 5.0625 53.28750000208616))",628
4611675225000351957,"POLYGON ((6.052499998360872 53.28750000208616, 6.067499998360872 53.28750000208616, 6.067499998360872 53.30250000208616, 6.052499998360872 53.30250000208616, 6.052499998360872 53.28750000208616))",10
4611675225000352023,"POLYGON ((7.042500000447035 53.28750000208616, 7.0575000004470345 53.28750000208616, 7.0575000004470345 53.30250000208616, 7.042500000447035 53.30250000208616, 7.042500000447035 53.28750000208616))",8
