bin_id,bin_text,bin_impressions
4611684393704858102,"POLYGON ((6.75 53.35000001788139, 6.85 53.35000001788139, 6.85 53.45000001788139, 6.75 53.45000001788139, 6.75 53.35000001788139))",1778
4611684396741858596,"POLYGON ((6.25 53.25000002384186, 6.35 53.25000002384186, 6.35 53.35000002384186, 6.25 53.35000002384186, 6.25 53.25000002384186))",1857
4611684399778859100,"POLYGON ((6.75 53.15, 6.85 53.15, 6.85 53.25, 6.75 53.25, 6.75 53.15))",15122
4611684405852860091,"POLYGON ((6.049999982118607 52.95000001192093, 6.149999982118606 52.95000001192093, 6.149999982118606 53.05000001192093, 6.049999982118607 53.05000001192093, 6.049999982118607 52.95000001192093))",6056
4611684408889860576,"POLYGON ((4.649999976158142 52.85000001788139, 4.749999976158142 52.85000001788139, 4.749999976158142 52.95000001788139, 4.649999976158142 52.95000001788139, 4.649999976158142 52.85000001788139))",7714
4611684411926861075,"POLYGON ((4.649999976158142 52.75000002384186, 4.749999976158142 52.75000002384186, 4.749999976158142 52.85000002384186, 4.649999976158142 52.85000002384186, 4.649999976158142 52.75000002384186))",3379
4611684414963861593,"POLYGON ((6.549999982118607 52.65, 6.649999982118606 52.65, 6.649999982118606 52.75, 6.549999982118607 52.75, 6.549999982118607 52.65))",1963
4611684421037862598,"POLYGON ((7.25 52.45000001192093, 7.35 52.45000001192093, 7.35 52.55000001192093, 7.25 52.55000001192093, 7.25 52.45000001192093))",60
4611684424074863085,"POLYGON ((6.049999982118607 52.35000001788139, 6.149999982118606 52.35000001788139, 6.149999982118606 52.45000001788139, 6.049999982118607 52.45000001788139, 6.049999982118607 52.35000001788139))",9140
4611684427111863583,"POLYGON ((5.949999988079071 52.25000002384186, 6.049999988079071 52.25000002384186, 6.049999988079071 52.35000002384186, 5.949999988079071 52.35000002384186, 5.949999988079071 52.25000002384186))",14756
4611684430148864069,"POLYGON ((4.649999976158142 52.15, 4.749999976158142 52.15, 4.749999976158142 52.25, 4.649999976158142 52.25, 4.649999976158142 52.15))",14996
4611684433185864583,"POLYGON ((6.149999976158142 52.05000000596046, 6.249999976158142 52.05000000596046, 6.249999976158142 52.150000005960464, 6.149999976158142 52.150000005960464, 6.149999976158142 52.05000000596046))",31846
4611684436222865068,"POLYGON ((4.75 51.95000001192093, 4.85 51.95000001192093, 4.85 52.05000001192093, 4.75 52.05000001192093, 4.75 51.95000001192093))",7847
4611684439259865576,"POLYGON ((5.649999976158142 51.85000001788139, 5.749999976158142 51.85000001788139, 5.749999976158142 51.95000001788139, 5.649999976158142 51.95000001788139, 5.649999976158142 51.85000001788139))",15878
4611684442296866075,"POLYGON ((5.649999976158142 51.75000002384186, 5.749999976158142 51.75000002384186, 5.749999976158142 51.85000002384186, 5.649999976158142 51.85000002384186, 5.649999976158142 51.75000002384186))",27334
4611684445333866578,"POLYGON ((6.049999982118607 51.65, 6.149999982118606 51.65, 6.149999982118606 51.75, 6.049999982118607 51.75, 6.049999982118607 51.65))",673
4611684448370867051,"POLYGON ((3.449999988079071 51.55000000596046, 3.549999988079071 51.55000000596046, 3.549999988079071 51.650000005960464, 3.449999988079071 51.650000005960464, 3.449999988079071 51.55000000596046))",1885
4611684451407867561,"POLYGON ((4.549999982118607 51.45000001192093, 4.649999982118606 51.45000001192093, 4.649999982118606 51.55000001192093, 4.549999982118607 51.55000001192093, 4.549999982118607 51.45000001192093))",6415
4611684454444868067,"POLYGON ((5.25 51.35000001788139, 5.35 51.35000001788139, 5.35 51.45000001788139, 5.25 51.45000001788139, 5.25 51.35000001788139))",10715
4611684457481868543,"POLYGON ((2.949999988079071 51.25000002384186, 3.049999988079071 51.25000002384186, 3.049999988079071 51.35000002384186, 2.949999988079071 51.35000002384186, 2.949999988079071 51.25000002384186))",60
4611684457481868566,"POLYGON ((5.25 51.25000002384186, 5.35 51.25000002384186, 5.35 51.35000002384186, 5.25 51.35000002384186, 5.25 51.25000002384186))",3590
4611684460518869069,"POLYGON ((5.649999976158142 51.15, 5.749999976158142 51.15, 5.749999976158142 51.25, 5.649999976158142 51.25, 5.649999976158142 51.15))",11806
